;Date received;Product;Sub-product;Company;State;Submitted via;Timely response?;Consumer disputed?
237341;02/08/2016;Debt collection;Non-federal student loan;First Associates Loan Servicing LLC;SC;Web;Yes;No
237437;01/28/2016;Debt collection;Other (i.e. phone, health club, etc.);ZENCO COLLECTION, LLC;TX;Web;No;No
237863;02/08/2016;Debt collection;Other (i.e. phone, health club, etc.);Columbia Recovery Group LLC;WA;Web;Yes;Yes
238041;02/12/2016;Debt collection;Credit card;Hodosh, Lyon & Hammer, PC;RI;Web;Yes;No
238051;02/03/2016;Debt collection;Medical;CCS Financial Services, Inc.;CA;Web;Yes;No
238053;02/03/2016;Debt collection;Medical;Retrieval-Masters Creditors Bureau, Inc.;CA;Web;Yes;No
238118;02/08/2016;Debt collection;Mortgage;Dyck-O'Neal, Inc.;MD;Web;Yes;No
238336;02/09/2016;Debt collection;Other (i.e. phone, health club, etc.);Resolve Partners, LLC;NC;Web;Yes;No
238388;02/18/2016;Debt collection;Mortgage;Nationstar Mortgage;NC;Web;Yes;Yes
238534;02/26/2016;Debt collection;I do not know;CCS Financial Services, Inc.;CA;Web;Yes;Yes
238649;03/03/2016;Debt collection;I do not know;Credit Protection Association, L.P.;WV;Web;Yes;No
238795;02/28/2016;Debt collection;Other (i.e. phone, health club, etc.);ERC;GA;Web;Yes;No
239055;02/23/2016;Debt collection;Credit card;Wells Fargo & Company;CA;Web;Yes;No
239178;03/09/2016;Debt collection;Medical;Capital Accounts, LLC;KY;Web;Yes;Yes
239191;02/19/2016;Debt collection;Other (i.e. phone, health club, etc.);First National Collection Bureau, Inc.;CA;Web;Yes;No
239226;02/24/2016;Debt collection;Other (i.e. phone, health club, etc.);ERC;GA;Web;Yes;No
239295;03/09/2016;Debt collection;I do not know;Focus Holding Company;NJ;Web;No;Yes
239331;03/01/2016;Debt collection;Other (i.e. phone, health club, etc.);First National Collection Bureau, Inc.;CA;Web;Yes;No
239338;02/24/2016;Debt collection;I do not know;Millennium Financial Group, L.L.C.;TX;Web;Yes;No
239364;03/09/2016;Debt collection;Other (i.e. phone, health club, etc.);Aspen National Financial, Inc.;PA;Web;Yes;No
239609;03/04/2016;Debt collection;Mortgage;Select Portfolio Servicing, Inc;GA;Web;Yes;Yes
239718;03/04/2016;Debt collection;Other (i.e. phone, health club, etc.);Eastern Account Systems of Connecticut, Inc.;NV;Web;Yes;Yes
239729;03/04/2016;Payday loan;Payday loan;Enova International, Inc.;MD;Web;Yes;No
239824;03/15/2016;Debt collection;Payday loan;Advance America, Cash Advance Centers, Inc.;GA;Web;Yes;No
239951;03/04/2016;Debt collection;I do not know;First National Collection Bureau, Inc.;CA;Web;Yes;No
240010;03/01/2016;Debt collection;Payday loan;Citi Management Group, LLC;FL;Web;Yes;No
240122;02/25/2016;Debt collection;Other (i.e. phone, health club, etc.);RAB, INC.;TX;Web;Yes;No
240543;03/24/2016;Debt collection;Medical;Aargon Agency, Inc.;WA;Web;Yes;No
240912;03/07/2016;Debt collection;Medical;CMRE Financial Services, Inc.;CA;Web;Yes;No
240928;03/10/2016;Debt collection;Other (i.e. phone, health club, etc.);The Affiliated Group, Inc;OH;Web;Yes;No
240975;03/03/2016;Debt collection;Non-federal student loan;Financial Asset Management Systems, Inc.;AZ;Web;Yes;No
240976;03/10/2016;Debt collection;I do not know;Synchrony Financial;AZ;Web;Yes;No
241010;03/07/2016;Debt collection;I do not know;I.C. System, Inc.;TX;Web;Yes;No
241174;03/21/2016;Debt collection;I do not know;Harris & Harris, Ltd.;CA;Web;Yes;No
241245;03/16/2016;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;MA;Web;Yes;Yes
241513;03/11/2016;Debt collection;Payday loan;CashCall, Inc.;UT;Web;Yes;No
241604;03/25/2016;Debt collection;Other (i.e. phone, health club, etc.);McCarthy, Burgess & Wolff, Inc.;AZ;Web;Yes;Yes
241743;03/22/2016;Debt collection;I do not know;Access Receivables Management;PA;Web;Yes;Yes
241886;03/22/2016;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
241934;03/30/2016;Debt collection;I do not know;United Revenue Corporation;TX;Web;Yes;No
242210;03/13/2016;Debt collection;Payday loan;Advance America, Cash Advance Centers, Inc.;GA;Web;Yes;Yes
242305;03/14/2016;Debt collection;Credit card;Sterling Jewelers Inc.;OH;Web;Yes;No
242334;03/28/2016;Debt collection;Mortgage;Specialized Loan Servicing LLC;SC;Web;Yes;No
242754;03/17/2016;Debt collection;Medical;NRA Group, LLC;CA;Web;Yes;Yes
242801;12/12/2016;Debt collection;Federal student loan;ECMC Group, Inc.;AZ;Web;Yes;No
242879;03/18/2016;Debt collection;Credit card;Pressler & Pressler, LLP;NJ;Web;Yes;No
243196;04/01/2016;Debt collection;Other (i.e. phone, health club, etc.);CCS Financial Services, Inc.;OR;Web;Yes;No
243243;04/06/2016;Debt collection;Other (i.e. phone, health club, etc.);Diversified Adjustment Service, Inc.;NY;Web;Yes;Yes
243324;04/06/2016;Debt collection;Credit card;Sterling Jewelers Inc.;VA;Web;Yes;No
243430;03/29/2016;Student loan;Non-federal student loan;Utah System of Higher Education;UT;Web;Yes;No
243478;03/29/2016;Debt collection;Other (i.e. phone, health club, etc.);Absolute Recovery Services, LLC;TN;Web;No;No
243545;04/02/2016;Debt collection;Other (i.e. phone, health club, etc.);Capital Management Services, LP;MO;Web;Yes;No
243552;04/02/2016;Debt collection;Credit card;Johnson Mark LLC;AZ;Web;Yes;No
243582;12/21/2016;Debt collection;Other (i.e. phone, health club, etc.);National Financial Group, Inc;TX;Web;Yes;No
243836;04/18/2016;Debt collection;Credit card;Client Services, Inc.;IL;Web;Yes;No
243876;04/08/2016;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;NV;Web;Yes;No
243926;04/04/2016;Debt collection;Other (i.e. phone, health club, etc.);Javitch, Block & Rathbone LLC;OH;Web;Yes;No
244064;12/06/2016;Debt collection;Other (i.e. phone, health club, etc.);Professional Recovery Management;TX;Web;Yes;No
244090;11/30/2016;Debt collection;Medical;Focused Recovery Solutions, Inc.;VA;Web;No;No
244160;04/27/2016;Debt collection;Other (i.e. phone, health club, etc.);TransUnion Intermediate Holdings, Inc.;NC;Web;Yes;Yes
244240;12/13/2016;Debt collection;Medical;Profit Services Group;GA;Web;Yes;No
244297;12/12/2016;Debt collection;I do not know;Credit Acceptance Corporation;PA;Web;Yes;No
244317;04/19/2016;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;MN;Web;Yes;No
244549;04/09/2016;Debt collection;Medical;ProCollect, Inc;TX;Web;Yes;No
244629;04/19/2016;Debt collection;Medical;Phoenix Financial Services LLC;MI;Web;Yes;No
244663;04/10/2016;Debt collection;Auto;Credit Acceptance Corporation;TN;Web;Yes;Yes
244703;04/20/2016;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;VA;Web;Yes;No
244831;04/14/2016;Debt collection;Credit card;JH Portfolio Debt Equities, LLC;FL;Web;Yes;No
244976;04/20/2016;Debt collection;I do not know;Penn Credit Corporation;NJ;Web;Yes;Yes
245212;05/04/2016;Student loan;Non-federal student loan;Great Lakes;MD;Web;Yes;Yes
245359;01/30/2017;Debt collection;Other (i.e. phone, health club, etc.);I.C. System, Inc.;AL;Web;Yes;Yes
245531;04/16/2016;Debt collection;Other (i.e. phone, health club, etc.);Pinnacle Credit Services, LLC;NY;Web;Yes;Yes
245587;04/17/2016;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;CA;Web;Yes;No
246241;12/23/2016;Debt collection;I do not know;Continental Finance Company, LLC;CO;Web;Yes;No
246294;02/01/2017;Debt collection;Other (i.e. phone, health club, etc.);Navy FCU;WA;Web;Yes;Yes
246346;11/03/2016;Debt collection;Credit card;Navy FCU;CO;Web;Yes;No
246347;12/28/2016;Debt collection;Auto;The Receivable Management Services Corporation;PA;Web;Yes;Yes
246443;01/30/2017;Debt collection;Other (i.e. phone, health club, etc.);First Credit Services Inc.;NJ;Web;Yes;Yes
246465;05/09/2016;Debt collection;Medical;Tenet HealthCare Corporation;CA;Web;Yes;Yes
246471;02/03/2017;Debt collection;Mortgage;The Regional Adjustment Bureau, Incorporated;WI;Web;Yes;Yes
246762;06/03/2016;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;WA;Web;Yes;Yes
246950;05/18/2016;Debt collection;Credit card;Synchrony Financial;TX;Web;Yes;Yes
247023;05/25/2016;Payday loan;Payday loan;Banco Popular North America;NY;Web;Yes;Yes
247071;05/19/2016;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;WI;Web;Yes;Yes
247234;02/06/2017;Debt collection;Medical;American Collections Enterprise, Inc.;MD;Web;Yes;Yes
247375;01/09/2017;Debt collection;Other (i.e. phone, health club, etc.);Financial Management Solutions;VA;Web;Yes;Yes
247384;06/07/2016;Debt collection;Medical;Monterey Financial Services, Inc.;WA;Web;Yes;Yes
253179;01/13/2016;Payday loan;Payday loan;Enova International, Inc.;WI;Web;Yes;No
253259;04/05/2016;Debt collection;Credit card;Ashton & Weinberg, Inc.;FL;Web;Yes;No
253379;04/13/2016;Debt collection;I do not know;Citibank;CA;Web;Yes;No
253423;04/26/2016;Debt collection;Credit card;American Recovery Service Incorporated;VA;Web;Yes;No
253531;01/15/2016;Payday loan;Payday loan;Enova International, Inc.;SC;Web;Yes;No
253738;04/29/2016;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;IL;Web;Yes;Yes
253783;05/30/2016;Debt collection;Mortgage;Select Portfolio Servicing, Inc;FL;Web;Yes;Yes
253794;04/21/2016;Debt collection;Auto;Byrider Franchising, LLC;TN;Web;Yes;No
254151;02/07/2017;Debt collection;Credit card;Army and Air Force Exchange Service;CA;Web;Yes;Yes
254853;04/27/2016;Debt collection;Credit card;Gatestone & Co. International Inc.;IN;Web;Yes;No
255112;02/03/2017;Debt collection;Credit card;Army and Air Force Exchange Service;OK;Web;Yes;Yes
339504;03/19/2015;Debt collection;I do not know;Capital Management Services, LP;NY;Web;Yes;Yes
339632;03/27/2015;Debt collection;Other (i.e. phone, health club, etc.);JNR Adjustment Company, Inc;FL;Web;Yes;Yes
339737;03/27/2015;Debt collection;Payday loan;Cash Express, LLC;TN;Web;Yes;No
340430;03/20/2015;Debt collection;Credit card;Bank of America;OH;Web;Yes;Yes
340454;03/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;NC;Web;Yes;Yes
340668;03/25/2015;Debt collection;Other (i.e. phone, health club, etc.);Diversified Consultants, Inc.;IL;Web;Yes;No
340762;04/09/2015;Debt collection;Credit card;Citibank;TX;Web;Yes;No
340791;04/03/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;AL;Web;Yes;No
340801;03/30/2015;Debt collection;I do not know;Stellar Recovery Inc.;AZ;Web;Yes;No
340838;03/30/2015;Student loan;Non-federal student loan;Iowa Student Loan;IA;Web;Yes;No
340894;03/30/2015;Student loan;Non-federal student loan;Genesis Lending;NC;Web;No;No
340925;03/30/2015;Debt collection;Credit card;Citibank;OH;Web;Yes;No
341119;03/20/2015;Debt collection;I do not know;Southwest Credit Systems, L.P.;CA;Web;Yes;No
341170;03/25/2015;Debt collection;Medical;Fidelity Capital Holdings, Inc.;CA;Web;Yes;Yes
341230;03/20/2015;Debt collection;I do not know;Citibank;MD;Web;Yes;Yes
341236;04/04/2015;Debt collection;Medical;Oliver Adjustment Co.;WI;Web;Yes;No
341252;03/20/2015;Debt collection;I do not know;CARVANT FINANCIAL LLC;MD;Web;Yes;No
341366;03/26/2015;Student loan;Non-federal student loan;Genesis Lending;TX;Web;Yes;No
341431;03/31/2015;Debt collection;Other (i.e. phone, health club, etc.);Linebarger Goggan Blair & Sampson, LLP;OH;Web;Yes;No
341610;03/21/2015;Debt collection;Other (i.e. phone, health club, etc.);Ballybunion Enterprises, Inc;NJ;Web;Yes;Yes
341614;03/21/2015;Debt collection;Mortgage;Bank of America;GA;Web;Yes;No
341780;04/01/2015;Payday loan;Payday loan;Enova International, Inc.;MD;Web;Yes;No
342186;04/06/2015;Debt collection;I do not know;Commonwealth Financial Systems, Inc.;OH;Web;Yes;No
342366;03/23/2015;Debt collection;Other (i.e. phone, health club, etc.);FAIR COLLECTIONS & OUTSOURCING, INC.;VA;Web;Yes;No
342384;04/10/2015;Debt collection;I do not know;Allied Interstate LLC;NJ;Web;Yes;No
342453;04/06/2015;Debt collection;Other (i.e. phone, health club, etc.);Caine & Weiner Co. Inc.;CA;Web;Yes;No
342515;04/10/2015;Debt collection;Medical;Alliance Collection Agencies, Inc.;WI;Web;Yes;No
342659;04/16/2015;Debt collection;Other (i.e. phone, health club, etc.);First National Collection Bureau, Inc.;CO;Web;Yes;No
342726;04/07/2015;Debt collection;Medical;Robinson, Reagan and Young PLLC;TN;Web;Yes;Yes
342728;04/16/2015;Debt collection;Medical;COLLECTION SERVICES OF ATHENS, INC.;GA;Web;Yes;No
342770;04/01/2015;Debt collection;I do not know;Progressive Financial Services, Inc.;AZ;Web;Yes;No
343032;04/12/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;FL;Web;Yes;Yes
343170;04/02/2015;Debt collection;Payday loan;Accelerated Financial Solutions, LLC;MO;Web;Yes;Yes
343184;04/07/2015;Debt collection;Other (i.e. phone, health club, etc.);RS Clark and Associates, Inc.;TX;Web;No;No
343215;04/08/2015;Debt collection;Medical;FirstPoint Collection Resources;FL;Web;Yes;Yes
343292;04/17/2015;Debt collection;Mortgage;BB&T Financial;NC;Web;Yes;Yes
343519;04/22/2015;Debt collection;I do not know;Ascension Point Recovery Services, LLC;CA;Web;Yes;No
343617;04/17/2015;Debt collection;Credit card;First National Collection Bureau, Inc.;FL;Web;Yes;No
343732;05/07/2015;Debt collection;Other (i.e. phone, health club, etc.);USA Discounters, Ltd.;DE;Web;Yes;Yes
343859;04/27/2015;Debt collection;I do not know;CCS Financial Services, Inc.;NY;Web;Yes;No
344083;04/28/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;OR;Web;Yes;No
344175;05/03/2015;Debt collection;Credit card;Ascension Point Recovery Services, LLC;TX;Web;Yes;No
344185;04/14/2015;Debt collection;I do not know;Consolidated Management Group, LLC;TX;Web;Yes;Yes
344256;04/14/2015;Debt collection;Other (i.e. phone, health club, etc.);First National Collection Bureau, Inc.;FL;Web;Yes;No
344331;04/28/2015;Debt collection;Medical;Collection Information Bureau, Inc.;FL;Web;Yes;No
345097;05/14/2015;Debt collection;Other (i.e. phone, health club, etc.);Recovery Partners, LLC;CA;Web;Yes;No
345303;04/21/2015;Debt collection;Medical;Nationwide Credit Corporation;MD;Web;Yes;No
345411;04/21/2015;Debt collection;Auto;Navy FCU;VA;Web;Yes;Yes
345640;04/29/2015;Debt collection;Other (i.e. phone, health club, etc.);The Best Service Co.,Inc;CO;Web;Yes;No
345680;05/19/2015;Debt collection;Credit card;SquareTwo Financial Corporation;GA;Web;Yes;No
345686;05/10/2015;Debt collection;Medical;Escallate, LLC;NY;Web;Yes;No
345710;05/19/2015;Debt collection;Credit card;Bank of America;MO;Web;Yes;No
345758;05/10/2015;Debt collection;Other (i.e. phone, health club, etc.);RGS Financial, Inc.;OK;Web;Yes;No
345886;05/19/2015;Debt collection;Medical;Sarma;VA;Web;Yes;No
346205;04/25/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;NY;Web;Yes;No
346222;04/25/2015;Debt collection;Credit card;Pressler & Pressler, LLP;NJ;Web;Yes;No
346609;05/12/2015;Payday loan;Payday loan;LDF Holdings, LLC;VA;Web;Yes;No
346624;05/06/2015;Debt collection;Other (i.e. phone, health club, etc.);Solomon and Solomon, P.C.;ME;Web;Yes;Yes
346625;05/12/2015;Debt collection;Credit card;Citibank;NE;Web;Yes;No
346970;04/22/2015;Debt collection;Auto;CCS Financial Services, Inc.;CO;Web;Yes;No
347131;05/01/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;CO;Web;Yes;No
347168;05/27/2015;Debt collection;Other (i.e. phone, health club, etc.);ProCollect, Inc;TX;Web;Yes;No
347210;04/22/2015;Debt collection;Medical;Collection Bureau Services, Inc.;AP;Web;Yes;Yes
347376;05/12/2015;Debt collection;Other (i.e. phone, health club, etc.);Meade & Associates, Inc.;OH;Web;Yes;No
347383;05/16/2015;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;NJ;Web;Yes;No
347529;05/16/2015;Debt collection;Credit card;SunTrust Banks, Inc.;GA;Web;Yes;No
347575;05/18/2015;Debt collection;Medical;Senex Services Corp.;TN;Web;Yes;No
347696;05/13/2015;Debt collection;I do not know;Education Management Corporation;AL;Web;Yes;Yes
347717;06/02/2015;Student loan;Non-federal student loan;Wells Fargo & Company;IL;Web;Yes;No
348311;06/07/2015;Debt collection;Other (i.e. phone, health club, etc.);CCS Financial Services, Inc.;KY;Web;No;No
348317;06/03/2015;Debt collection;I do not know;Focus Holding Company;IL;Web;Yes;No
348349;06/03/2015;Debt collection;Other (i.e. phone, health club, etc.);Advanced Collection Bureau, Inc.;TX;Web;Yes;No
348511;06/08/2015;Debt collection;I do not know;Western Portfolio Assets;WA;Web;Yes;No
348916;06/17/2015;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;TX;Web;No;Yes
348964;05/22/2015;Debt collection;Other (i.e. phone, health club, etc.);Aspen National Financial, Inc.;AL;Web;Yes;No
348990;05/23/2015;Debt collection;I do not know;Jenkins, Wagnon & Young, P.C.;TX;Web;Yes;Yes
349040;05/24/2015;Debt collection;I do not know;Receivables Performance Management LLC;CA;Web;No;No
349141;05/26/2015;Debt collection;Payday loan;Delbert Services;IL;Web;Yes;No
349205;06/28/2015;Debt collection;Other (i.e. phone, health club, etc.);Carmel Financial Corporation, Inc.;NV;Web;Yes;Yes
349281;06/28/2015;Debt collection;Other (i.e. phone, health club, etc.);Valentine and Kebartas, Inc.;AE;Web;Yes;No
349321;06/29/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;GA;Web;Yes;No
349492;06/23/2015;Debt collection;Other (i.e. phone, health club, etc.);Financial Credit Network Inc;NV;Web;Yes;No
349510;06/23/2015;Debt collection;I do not know;Focus Holding Company;MD;Web;Yes;No
349602;05/29/2015;Debt collection;I do not know;First National Collection Bureau, Inc.;CA;Web;Yes;No
349908;06/23/2015;Debt collection;Credit card;Bank of America;GA;Web;Yes;No
350107;05/29/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;TX;Web;Yes;No
350486;06/05/2015;Debt collection;Medical;Bonded Business Services, Ltd.;CO;Web;Yes;No
350530;06/19/2015;Payday loan;Payday loan;CashCall, Inc.;IN;Web;Yes;No
350744;05/31/2015;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;TX;Web;Yes;No
350884;06/10/2015;Debt collection;Credit card;Bank of America;NY;Web;Yes;No
351386;06/22/2015;Debt collection;Other (i.e. phone, health club, etc.);FAIR COLLECTIONS & OUTSOURCING, INC.;NV;Web;Yes;No
351427;06/02/2015;Debt collection;Non-federal student loan;SquareTwo Financial Corporation;TN;Web;Yes;No
351818;06/30/2015;Debt collection;Payday loan;Cottonwood Financial Ltd.;NC;Web;Yes;No
351975;07/06/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;GA;Web;Yes;No
352179;06/26/2015;Payday loan;Payday loan;Advance America, Cash Advance Centers, Inc.;FL;Web;Yes;Yes
352617;07/20/2015;Debt collection;I do not know;Southwest Credit Systems, L.P.;DE;Web;Yes;Yes
352864;07/10/2015;Debt collection;Medical;States Recovery Systems, Inc.;CA;Web;Yes;Yes
352876;06/26/2015;Debt collection;Other (i.e. phone, health club, etc.);Robinson, Reagan and Young PLLC;WA;Web;Yes;Yes
352905;07/15/2015;Debt collection;I do not know;Focus Holding Company;OH;Web;No;No
352966;07/10/2015;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;AR;Web;Yes;No
353042;07/23/2015;Debt collection;I do not know;Commonwealth Financial Systems, Inc.;RI;Web;Yes;No
353043;12/17/2016;Debt collection;Credit card;Synchrony Financial;LA;Web;Yes;No
353203;07/11/2015;Debt collection;Credit card;Bank of America;NV;Web;Yes;Yes
353332;07/20/2015;Debt collection;I do not know;Direct Capital;CA;Web;Yes;No
353509;07/24/2015;Debt collection;Credit card;Blatt, Hasenmiller, Leibsker & Moore, LLC;MI;Web;Yes;Yes
353567;07/02/2015;Debt collection;Other (i.e. phone, health club, etc.);Express Recovery Services, Inc.;FL;Web;Yes;Yes
353720;07/12/2015;Debt collection;Medical;The Collection Connection;CA;Web;Yes;No
353743;07/08/2015;Debt collection;I do not know;Focus Holding Company;NC;Web;Yes;No
353863;07/03/2015;Debt collection;Medical;Capital Accounts, LLC;NC;Web;Yes;No
354371;07/24/2015;Debt collection;Medical;HCFS Health Care Financial Services, Inc.;DE;Web;Yes;No
354759;07/26/2015;Debt collection;I do not know;Johnson Mark LLC;UT;Web;Yes;No
354829;07/26/2015;Debt collection;Mortgage;National Credit Systems,Inc.;TX;Web;Yes;No
354858;07/27/2015;Debt collection;Medical;CMRE Financial Services, Inc.;OK;Web;Yes;Yes
354909;08/05/2015;Debt collection;Credit card;USAA Savings;AZ;Web;Yes;No
355203;07/14/2015;Debt collection;Credit card;Citibank;CA;Web;Yes;No
355238;07/22/2015;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;TN;Web;Yes;Yes
355305;07/17/2015;Debt collection;Auto;Recovery Partners, LLC;FL;Web;Yes;No
355380;07/22/2015;Debt collection;Credit card;Citibank;OK;Web;Yes;Yes
355403;07/09/2015;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;DC;Web;Yes;No
355416;07/09/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
355449;07/22/2015;Debt collection;Medical;Armada Corp.;NV;Web;Yes;No
355512;07/31/2015;Debt collection;Other (i.e. phone, health club, etc.);Financial Credit Network Inc;ID;Web;Yes;No
355542;08/05/2015;Debt collection;Medical;Aargon Agency, Inc.;CA;Web;Yes;Yes
355692;07/31/2015;Debt collection;Credit card;Sterling Jewelers Inc.;VA;Web;Yes;No
355696;07/17/2015;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;CA;Web;Yes;No
355817;07/18/2015;Debt collection;Medical;Account Services Collections, Inc;TX;Web;Yes;No
355818;08/05/2015;Debt collection;Medical;CMRE Financial Services, Inc.;CA;Web;Yes;No
355880;07/09/2015;Debt collection;I do not know;Allied Interstate LLC;NY;Web;Yes;No
355905;08/10/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
356166;07/28/2015;Debt collection;Payday loan;Solidus Group LLC.;VA;Web;No;Yes
356174;08/05/2015;Debt collection;I do not know;Southwest Credit Systems, L.P.;MO;Web;Yes;No
356294;08/05/2015;Debt collection;Other (i.e. phone, health club, etc.);Radius Global Solutions LLC;AZ;Web;Yes;No
356376;07/28/2015;Debt collection;Medical;Commonwealth Financial Systems, Inc.;WI;Web;Yes;No
356586;08/06/2015;Debt collection;Credit card;Citibank;NJ;Web;Yes;Yes
356623;07/28/2015;Payday loan;Payday loan;Bliksum, LLC;CA;Web;Yes;No
357089;08/03/2015;Debt collection;Auto;Zarzaur and Schwartz, PC;AL;Web;Yes;No
357129;08/03/2015;Debt collection;Medical;Commonwealth Financial Systems, Inc.;TX;Web;Yes;No
357280;08/17/2015;Debt collection;Other (i.e. phone, health club, etc.);Sunrise Credit Services Inc.;PA;Web;Yes;No
357313;08/03/2015;Debt collection;Other (i.e. phone, health club, etc.);Source Receivables Management LLC;IL;Web;Yes;No
357334;08/12/2015;Debt collection;I do not know;Allied Interstate LLC;IN;Web;Yes;No
357338;08/12/2015;Debt collection;I do not know;Lustig, Glaser & Wilson, P.C.;MA;Web;Yes;No
357381;08/17/2015;Student loan;Non-federal student loan;Sallie Mae;PA;Web;Yes;Yes
358111;08/13/2015;Debt collection;Other (i.e. phone, health club, etc.);Linebarger Goggan Blair & Sampson, LLP;TX;Web;Yes;No
358123;08/07/2015;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;VA;Web;Yes;No
358357;08/18/2015;Debt collection;Mortgage;Bank of America;AZ;Web;Yes;Yes
358491;08/18/2015;Debt collection;Credit card;Javitch, Block & Rathbone LLC;CA;Web;Yes;Yes
358614;08/09/2015;Debt collection;I do not know;Radius Global Solutions LLC;HI;Web;Yes;No
359132;09/06/2015;Payday loan;Payday loan;Enova International, Inc.;OH;Web;Yes;No
359443;09/08/2015;Debt collection;Other (i.e. phone, health club, etc.);Amsher Collection Services, Inc.;IN;Web;Yes;No
359566;09/21/2015;Debt collection;Medical;Merchants and Professional Bureau, Inc.;SC;Web;Yes;No
359717;09/08/2015;Debt collection;Credit card;Forster & Garbus LLP;NY;Web;Yes;No
359751;08/14/2015;Debt collection;Credit card;Wells Fargo & Company;IL;Web;Yes;No
359864;08/19/2015;Debt collection;Credit card;Solomon and Solomon, P.C.;MA;Web;Yes;Yes
359866;08/14/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;VT;Web;Yes;Yes
359941;08/14/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;AZ;Web;Yes;No
359993;08/14/2015;Debt collection;Other (i.e. phone, health club, etc.);Credit Adjustment, Inc;AZ;Web;Yes;No
360073;09/02/2015;Debt collection;I do not know;Professional Receivables Network;GA;Web;Yes;No
360296;09/02/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;WI;Web;Yes;No
360319;09/14/2015;Debt collection;Credit card;Hiday & Ricke, P.A.;FL;Web;Yes;No
360558;08/28/2015;Debt collection;I do not know;Trademark Management Solutions, LLC.;TX;Web;Yes;No
360739;09/09/2015;Debt collection;Medical;Financial Business and Consumer Solutions.;CA;Web;Yes;No
360773;08/28/2015;Debt collection;Credit card;Citibank;NY;Web;Yes;No
360982;09/14/2015;Debt collection;Other (i.e. phone, health club, etc.);KelKris Associates Inc;CA;Web;Yes;Yes
361296;09/21/2015;Debt collection;Credit card;Collection Service of Nevada;NV;Web;Yes;No
361372;09/21/2015;Debt collection;Credit card;U.S. Bancorp;MO;Web;Yes;No
361404;09/04/2015;Debt collection;Other (i.e. phone, health club, etc.);USA Discounters, Ltd.;AP;Web;Yes;Yes
361583;09/21/2015;Debt collection;Other (i.e. phone, health club, etc.);Credit Protection Association, L.P.;MT;Web;Yes;No
361732;09/10/2015;Debt collection;I do not know;Sterling Jewelers Inc.;TN;Web;Yes;No
361769;09/25/2015;Debt collection;Mortgage;Bank of America;DE;Web;Yes;No
361989;09/26/2015;Debt collection;Non-federal student loan;Sallie Mae;SC;Web;Yes;No
362001;09/26/2015;Debt collection;Credit card;Javitch, Block & Rathbone LLC;CA;Web;Yes;Yes
362110;10/12/2015;Debt collection;Other (i.e. phone, health club, etc.);Amsher Collection Services, Inc.;NV;Web;Yes;No
362169;09/27/2015;Debt collection;Credit card;Rushmore Service Center, LLC;NE;Web;Yes;No
362323;10/12/2015;Debt collection;Medical;Armada Corp.;CA;Web;Yes;Yes
362581;10/13/2015;Debt collection;Other (i.e. phone, health club, etc.);Professional Finance Company, Inc.;FL;Web;Yes;No
362640;10/01/2015;Debt collection;Credit card;Sterling Jewelers Inc.;SC;Web;Yes;No
362852;10/13/2015;Debt collection;Non-federal student loan;Financial Business and Consumer Solutions.;GA;Web;Yes;No
362902;09/16/2015;Debt collection;Other (i.e. phone, health club, etc.);MRS BPO, L.L.C.;TX;Web;Yes;No
362988;10/13/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;TX;Web;Yes;No
