;Date received;Product;Sub-product;Company;State;Submitted via;Timely response?;Consumer disputed?
683922;05/08/2015;Debt collection;Payday loan;Direct Capital;TN;Web;Yes;No
683957;10/13/2016;Debt collection;I do not know;Ditech Financial LLC;FL;Web;Yes;Yes
683962;08/14/2016;Debt collection;Auto;Millennium Financial Group, L.L.C.;MI;Web;Yes;No
684045;08/26/2016;Debt collection;Other (i.e. phone, health club, etc.);Pinnacle Recovery, Inc.;MD;Web;Yes;No
684366;08/27/2016;Debt collection;Other (i.e. phone, health club, etc.);Full Circle Financial Services, LLC;AZ;Web;Yes;No
684436;05/17/2016;Debt collection;I do not know;Direct Capital;TX;Web;Yes;No
684814;08/16/2016;Payday loan;Payday loan;Enova International, Inc.;MD;Web;Yes;No
684937;08/13/2016;Debt collection;I do not know;Midwest Recovery Systems;KY;Web;No;No
685152;08/16/2016;Payday loan;Payday loan;Enova International, Inc.;VA;Web;Yes;No
685161;10/20/2016;Debt collection;I do not know;FirstSource Advantage, LLC;SC;Web;Yes;Yes
685265;08/26/2016;Payday loan;Payday loan;CashCall, Inc.;VA;Web;Yes;No
685452;08/22/2016;Debt collection;Other (i.e. phone, health club, etc.);Duncan Solutions, lnc.;SC;Web;Yes;No
685543;10/19/2016;Debt collection;Mortgage;Bank of America;GA;Web;Yes;Yes
685647;08/16/2016;Debt collection;Payday loan;Advance America, Cash Advance Centers, Inc.;TN;Web;Yes;No
685777;08/15/2016;Debt collection;Other (i.e. phone, health club, etc.);Performant Financial Corporation;NY;Web;Yes;No
685802;08/23/2016;Student loan;Federal student loan servicing;Wells Fargo & Company;IA;Web;Yes;No
685930;08/12/2016;Debt collection;Credit card;Contract Callers, Inc.;WA;Web;No;No
685962;07/13/2016;Debt collection;Credit card;Citibank;CA;Web;Yes;No
686134;08/19/2016;Debt collection;Credit card;SquareTwo Financial Corporation;TN;Web;Yes;No
686217;08/29/2016;Debt collection;Other (i.e. phone, health club, etc.);Progressive Financial Services, Inc.;AZ;Web;Yes;No
686250;08/29/2016;Debt collection;Other (i.e. phone, health club, etc.);Credit Protection Association, L.P.;WA;Web;Yes;No
686334;07/30/2016;Debt collection;Medical;Credence Resource Management, LLC;CA;Web;Yes;No
